Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Josh Barnett,Josh,Barnett,The Warmaster,"6' 3""",6,3,190.5,250 lbs.,250,113.398,"78.0""",78,Orthodox,34,8,0,,M,Heavyweight
Josh Bennett,Josh,Bennett,,"6' 4""",6,4,193.04,259 lbs.,259,117.480328,--,0,Orthodox,12,13,0,,M,Heavyweight
Josh Bryant,Josh,Bryant,The Beast,"5' 10""",5,10,177.8,185 lbs.,185,83.91452,--,0,Orthodox,12,1,0,,M,Middleweight
Josh Bumgarner,Josh,Bumgarner,,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,--,0,n/a,6,3,0,,M,Welterweight
Josh Burns,Josh,Burns,The Hammer,"6' 1""",6,1,185.42,244 lbs.,244,110.676448,--,0,n/a,0,1,0,,M,Heavyweight
Josh Clopton,Josh,Clopton,The Gentleman,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,"68.0""",68,Orthodox,6,2,1,,M,Featherweight
Josh Copeland,Josh,Copeland,Cuddly Bear,"6' 1""",6,1,185.42,265 lbs.,265,120.20188,"75.0""",75,Orthodox,9,2,0,,M,Heavyweight
Josh Diekmann,Josh,Diekmann,The Freight Train,"5' 4""",5,4,162.56,246 lbs.,246,111.583632,--,0,n/a,15,6,0,,M,Heavyweight
Josh Epps,Josh,Epps,,--,0,0,0,130 lbs.,130,58.96696,--,0,n/a,3,4,0,,M,Bantamweight
Josh Ferguson,Josh,Ferguson,Taz,"5' 5""",5,5,165.1,125 lbs.,125,56.699,"66.0""",66,Orthodox,7,5,0,,M,Flyweight
Josh Grispi,Josh,Grispi,The Fluke,"5' 11""",5,11,180.34,145 lbs.,145,65.77084,"74.0""",74,Orthodox,14,5,0,,M,Featherweight
Josh Haynes,Josh,Haynes,Bring the Pain,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Orthodox,14,11,0,,M,Welterweight
Josh Hendricks,Josh,Hendricks,,"6' 2""",6,2,187.96,235 lbs.,235,106.59412,--,0,Southpaw,18,7,0,,M,Heavyweight
Josh Janousek,Josh,Janousek,,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,"73.0""",73,Orthodox,8,1,0,,M,Middleweight
Josh Jarvis,Josh,Jarvis,,--,0,0,0,--,0,0,--,0,n/a,0,3,0,,M,n/a
Josh Koscheck,Josh,Koscheck,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,"73.0""",73,Orthodox,19,10,0,,M,Welterweight
Josh LaBerge,Josh,LaBerge,,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,--,0,n/a,8,5,0,,M,Featherweight
Josh McDonald,Josh,McDonald,,--,0,0,0,185 lbs.,185,83.91452,--,0,n/a,8,4,0,,M,Middleweight
Josh Neal,Josh,Neal,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,n/a,5,11,0,,M,Middleweight
Josh Neer,Josh,Neer,The Dentist,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"72.0""",72,Orthodox,33,13,1,,M,Welterweight
Josh Paiva,Josh,Paiva,,"5' 6""",5,6,167.64,125 lbs.,125,56.699,--,0,n/a,6,1,0,,M,Flyweight
Josh Pulsifer,Josh,Pulsifer,The Platypus,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,--,0,n/a,16,7,0,,M,Featherweight
Josh Rafferty,Josh,Rafferty,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Orthodox,9,8,0,,M,Welterweight
Josh Samman,Josh,Samman,Anqa,"6' 3""",6,3,190.5,185 lbs.,185,83.91452,"79.0""",79,Orthodox,12,4,0,,M,Middleweight
Josh San Diego,Josh,San Diego,JSD,"5' 10""",5,10,177.8,135 lbs.,135,61.23492,--,0,n/a,5,1,0,,M,Bantamweight
Josh Schockman,Josh,Schockman,The War Hammer,"6' 4""",6,4,193.04,235 lbs.,235,106.59412,--,0,Southpaw,5,3,0,,M,Heavyweight
Josh Shockley,Josh,Shockley,,"6' 1""",6,1,185.42,155 lbs.,155,70.30676,"74.0""",74,Orthodox,11,4,0,,M,Lightweight
Josh Smith,Josh,Smith,,"6' 0""",6,0,182.88,155 lbs.,155,70.30676,--,0,Orthodox,6,5,0,,M,Lightweight
Josh Stewart,Josh,Stewart,,"5' 9""",5,9,175.26,160 lbs.,160,72.57472,--,0,n/a,0,3,0,,M,Welterweight
Josh Thomson,Josh,Thomson,The Punk,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"71.0""",71,Orthodox,21,8,0,,M,Lightweight
Josh Thornburg,Josh,Thornburg,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,7,5,0,,M,Welterweight
Joshua Burkman,Joshua,Burkman,The People's Warrior,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"72.0""",72,Orthodox,29,12,0,,M,Lightweight
Joshua Sampo,Joshua,Sampo,The Gremlin,"5' 4""",5,4,162.56,125 lbs.,125,56.699,"64.0""",64,Orthodox,11,5,0,,M,Flyweight
JP Felty,JP,Felty,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,1,2,0,,M,Welterweight
Juan Alcain,Juan,Alcain,,--,0,0,0,--,0,0,--,0,n/a,1,2,0,,M,n/a
Juan Miranda,Juan,Miranda,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,7,4,0,,M,Lightweight
Juan Mott,Juan,Mott,,"6' 0""",6,0,182.88,190 lbs.,190,86.18248,--,0,Switch,3,4,0,,M,Light Heavyweight
Juan Puig,Juan,Puig,Fenix,"5' 9""",5,9,175.26,145 lbs.,145,65.77084,"72.0""",72,Orthodox,11,4,0,,M,Featherweight
Jules Bruchez,Jules,Bruchez,,"6' 0""",6,0,182.88,205 lbs.,205,92.98636,--,0,Southpaw,1,2,0,,M,Light Heavyweight
Julia Budd,Julia,Budd,,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,"67.0""",67,n/a,3,1,0,,F,Featherweight
Julian Erosa,Julian,Erosa,Juicy J,"6' 1""",6,1,185.42,145 lbs.,145,65.77084,"75.0""",75,Southpaw,15,4,0,,M,Featherweight
Julian Sanchez,Julian,Sanchez,,"6' 3""",6,3,190.5,300 lbs.,300,136.0776,--,0,Orthodox,0,1,0,,M,Super Heavyweight
Juliana Lima,Juliana,Lima,Ju Thai,"5' 5""",5,5,165.1,115 lbs.,115,52.16308,"65.0""",65,Orthodox,8,2,0,,F,Strawweight
Julianna Pena,Julianna,Pena,The Venezuelan Vixen,"5' 6""",5,6,167.64,135 lbs.,135,61.23492,"69.0""",69,n/a,8,2,0,,F,Bantamweight
Julie Kedzie,Julie,Kedzie,,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,"64.0""",64,Orthodox,16,13,0,,F,Bantamweight
Julio Cesar Neves Jr.,Julio Cesar,Neves Jr.,Morceguinho,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,--,0,n/a,30,1,0,,M,Featherweight
Julio Paulino,Julio,Paulino,The Dominican Demon,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Orthodox,17,4,0,,M,Welterweight
Jumabieke Tuerxun,Jumabieke,Tuerxun,Leopard,"5' 7""",5,7,170.18,135 lbs.,135,61.23492,"67.0""",67,Orthodox,17,3,0,,M,Bantamweight
Junie Browning,Junie,Browning,,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,--,0,Orthodox,4,5,0,,M,Lightweight
Junior Assuncao,Junior,Assuncao,,"5' 9""",5,9,175.26,145 lbs.,145,65.77084,"72.0""",72,Orthodox,13,4,0,,M,Featherweight
Junior Barata,Junior,Barata,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,Orthodox,8,3,1,,M,Welterweight
Junior Dos Santos,Junior,Dos Santos,Cigano,"6' 4""",6,4,193.04,238 lbs.,238,107.954896,"77.0""",77,Orthodox,18,4,0,,M,Heavyweight
Junya Kudo,Junya,Kudo,,--,0,0,0,135 lbs.,135,61.23492,--,0,Orthodox,8,4,2,,M,Bantamweight
Jussier da Silva,Jussier,da Silva,Formiga,"5' 5""",5,5,165.1,125 lbs.,125,56.699,"67.0""",67,Orthodox,18,4,0,,M,Flyweight
Justin Bruckmann,Justin,Bruckmann,Loaf,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Orthodox,7,3,0,,M,Welterweight
Justin Buchholz,Justin,Buchholz,,"6' 0""",6,0,182.88,155 lbs.,155,70.30676,"73.0""",73,Orthodox,12,6,0,,M,Lightweight
Justin Davis,Justin,Davis,Dangerous,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,--,0,n/a,14,10,0,,M,Light Heavyweight
Justin DeMoney,Justin,DeMoney,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,13,5,1,,M,Welterweight
Justin Edwards,Justin,Edwards,Fast Eddy,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"70.0""",70,Orthodox,9,5,0,,M,Lightweight
Justin Eilers,Justin,Eilers,The Hammer,"6' 1""",6,1,185.42,235 lbs.,235,106.59412,--,0,Orthodox,19,7,1,,M,Heavyweight
Justin Governale,Justin,Governale,The Therapist,--,0,0,0,145 lbs.,145,65.77084,--,0,n/a,4,2,0,,M,Featherweight
Justin Guthrie,Justin,Guthrie,,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,--,0,n/a,18,8,0,,M,Welterweight
Justin Haskins,Justin,Haskins,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,Orthodox,7,6,0,,M,Welterweight
Justin James,Justin,James,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,Orthodox,13,7,0,,M,Lightweight
Justin Jones,Justin,Jones,Lazy Bones,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,"78.0""",78,Orthodox,3,2,0,,M,Light Heavyweight
Justin Lawrence,Justin,Lawrence,The American Kidd,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,"67.0""",67,Orthodox,5,2,0,,M,Featherweight
Justin Levens,Justin,Levens,The Executioner,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,Orthodox,9,8,0,,M,Middleweight
Justin Martin,Justin,Martin,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,n/a,4,3,0,,M,Middleweight
Justin McCully,Justin,McCully,The Insane One,"6' 1""",6,1,185.42,225 lbs.,225,102.0582,"73.0""",73,Orthodox,10,5,2,,M,Heavyweight
Justin McElfresh,Justin,McElfresh,,"6' 6""",6,6,198.12,205 lbs.,205,92.98636,--,0,Orthodox,6,4,0,,M,Light Heavyweight
Justin Patterson,Justin,Patterson,The Tactician,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,n/a,6,1,0,,M,Welterweight
Justin Pennington,Justin,Pennington,,"5' 4""",5,4,162.56,--,0,0,--,0,n/a,2,2,0,,M,n/a
Justin Robbins,Justin,Robbins,,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,--,0,n/a,12,10,1,,M,Bantamweight
Justin Salas,Justin,Salas,J-Bomb,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"70.0""",70,Southpaw,12,7,0,,M,Lightweight
Justin Scoggins,Justin,Scoggins,Tank,"5' 7""",5,7,170.18,125 lbs.,125,56.699,"66.0""",66,Southpaw,11,2,0,,M,Flyweight
Justin Smitley,Justin,Smitley,,--,0,0,0,145 lbs.,145,65.77084,--,0,n/a,10,7,1,,M,Featherweight
