Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Curtis Millender,Curtis,Millender,Curtious,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,--,0,n/a,8,2,0,,M,Welterweight
Curtis Stout,Curtis,Stout,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,Southpaw,11,12,1,,M,Middleweight
Cyril Asker,Cyril,Asker,Silverback,"6' 0""",6,0,182.88,247 lbs.,247,112.037224,"74.0""",74,Orthodox,7,2,0,,M,Heavyweight
Cyrille Diabate,Cyrille,Diabate,The Snake,"6' 6""",6,6,198.12,205 lbs.,205,92.98636,"81.0""",81,Southpaw,20,10,3,,M,Light Heavyweight
Cyrillo Padilha,Cyrillo,Padilha,,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,n/a,3,3,0,,M,Lightweight
Dae Won Kim,Dae Won,Kim,,"5' 11""",5,11,180.34,180 lbs.,180,81.64656,--,0,Orthodox,11,6,0,,M,Middleweight
Daijiro Matsui,Daijiro,Matsui,,"5' 9""",5,9,175.26,200 lbs.,200,90.7184,--,0,Orthodox,12,24,5,,M,Light Heavyweight
Daiju Takase,Daiju,Takase,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,Southpaw,9,13,2,,M,Welterweight
Daiki Hata,Daiki,Hata,DJ Taiki,"5' 6""",5,6,167.64,139 lbs.,139,63.049288,--,0,Orthodox,11,9,4,,M,Featherweight
Daisuke Nakamura,Daisuke,Nakamura,,"5' 7""",5,7,170.18,154 lbs.,154,69.853168,--,0,Orthodox,24,13,0,,M,Lightweight
Daisuke Sugie,Daisuke,Sugie,Amazon,"5' 6""",5,6,167.64,160 lbs.,160,72.57472,--,0,Orthodox,10,8,1,,M,Welterweight
Dakota Cochrane,Dakota,Cochrane,,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,--,0,n/a,18,8,0,,M,Lightweight
Dale Hartt,Dale,Hartt,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"69.0""",69,Orthodox,6,3,0,,M,Lightweight
Damacio Page,Damacio,Page,The Angel of Death,"5' 6""",5,6,167.64,135 lbs.,135,61.23492,"66.0""",66,Orthodox,12,8,0,,M,Bantamweight
DaMarques Johnson,DaMarques,Johnson,Darkness,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"75.0""",75,Orthodox,18,12,0,,M,Welterweight
Damian Grabowski,Damian,Grabowski,The Polish Pitbull,"6' 1""",6,1,185.42,241 lbs.,241,109.315672,--,0,n/a,20,3,0,,M,Heavyweight
Damian Stasiak,Damian,Stasiak,Webster,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,"70.0""",70,Orthodox,9,3,0,,M,Bantamweight
Damien Brown,Damien,Brown,Beatdown,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"68.0""",68,Orthodox,15,9,0,,M,Lightweight
Damien Trites,Damien,Trites,The Omen,"5' 11""",5,11,180.34,165 lbs.,165,74.84268,--,0,n/a,7,6,0,,M,Welterweight
Damion Douglas,Damion,Douglas,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,4,1,0,,M,Welterweight
Damir Hadzovic,Damir,Hadzovic,The Bosnian Bomber,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"70.0""",70,Orthodox,10,3,0,,M,Lightweight
Damir Mirenic,Damir,Mirenic,Wolf,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Orthodox,8,4,0,,M,Middleweight
Damon Jackson,Damon,Jackson,The Leech,"5' 11""",5,11,180.34,145 lbs.,145,65.77084,"71.0""",71,Switch,9,1,1,,M,Featherweight
Dan Bobish,Dan,Bobish,,"6' 2""",6,2,187.96,345 lbs.,345,156.48924,--,0,Southpaw,17,9,0,,M,Super Heavyweight
Dan Charles,Dan,Charles,The Man,"6' 2""",6,2,187.96,228 lbs.,228,103.418976,--,0,n/a,10,3,0,,M,Heavyweight
Dan Christison,Dan,Christison,The Sandman,"6' 8""",6,8,203.2,265 lbs.,265,120.20188,--,0,Orthodox,20,7,0,,M,Heavyweight
Dan Cramer,Dan,Cramer,,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,--,0,Orthodox,7,3,0,,M,Welterweight
Dan Evensen,Dan,Evensen,The Viking,"6' 3""",6,3,190.5,250 lbs.,250,113.398,--,0,Orthodox,11,4,0,,M,Heavyweight
Dan Hardy,Dan,Hardy,The Outlaw,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"74.0""",74,Orthodox,25,10,0,,M,Welterweight
Dan Henderson,Dan,Henderson,Hendo,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,"74.0""",74,Orthodox,31,14,0,,M,Middleweight
Dan Lauzon,Dan,Lauzon,The Upgrade,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,Orthodox,15,4,0,,M,Lightweight
Dan Miller,Dan,Miller,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,"74.0""",74,Orthodox,14,8,0,,M,Middleweight
Dan O'Connor,Dan,O'Connor,Johnny Irish,"5' 4""",5,4,162.56,115 lbs.,115,52.16308,--,0,n/a,5,5,0,,M,Strawweight
Dan Severn,Dan,Severn,The Beast,"6' 2""",6,2,187.96,250 lbs.,250,113.398,--,0,Southpaw,100,18,7,,M,Heavyweight
Daniel Acacio,Daniel,Acacio,,"5' 8""",5,8,172.72,180 lbs.,180,81.64656,--,0,Orthodox,26,12,0,,M,Middleweight
Daniel Barrera,Daniel,Barrera,The Fireman,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Orthodox,3,1,0,,M,Welterweight
Daniel Cormier,Daniel,Cormier,DC,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,"72.0""",72,Orthodox,17,1,0,,M,Light Heavyweight
Daniel Downes,Daniel,Downes,Danny Boy,"6' 0""",6,0,182.88,155 lbs.,155,70.30676,"72.0""",72,Orthodox,8,3,0,,M,Lightweight
Daniel Gallemore,Daniel,Gallemore,Big Kansas,"6' 5""",6,5,195.58,265 lbs.,265,120.20188,--,0,n/a,4,3,0,,M,Heavyweight
Daniel Gracie,Daniel,Gracie,,"6' 2""",6,2,187.96,225 lbs.,225,102.0582,--,0,Orthodox,5,4,1,,M,Heavyweight
Daniel Hooker,Daniel,Hooker,The Hangman,"6' 0""",6,0,182.88,145 lbs.,145,65.77084,"75.0""",75,Switch,14,6,0,,M,Featherweight
Daniel Jolly,Daniel,Jolly,The Werewolf of Texas,"6' 1""",6,1,185.42,205 lbs.,205,92.98636,"75.0""",75,Orthodox,5,1,0,,M,Light Heavyweight
Daniel Kelly,Daniel,Kelly,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,"70.0""",70,Southpaw,11,1,0,,M,Middleweight
Daniel McWilliams,Daniel,McWilliams,The Animal,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,n/a,9,19,0,,M,Middleweight
Daniel Omielanczuk,Daniel,Omielanczuk,,"6' 0""",6,0,182.88,247 lbs.,247,112.037224,"74.0""",74,Southpaw,18,5,1,,M,Heavyweight
Daniel Pineda,Daniel,Pineda,The Pit,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,"69.0""",69,Orthodox,18,11,0,,M,Featherweight
Daniel Puder,Daniel,Puder,,"6' 3""",6,3,190.5,235 lbs.,235,106.59412,--,0,Orthodox,8,0,0,,M,Heavyweight
Daniel Roberts,Daniel,Roberts,Ninja,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,"74.0""",74,Southpaw,12,4,0,,M,Welterweight
Daniel Sarafian,Daniel,Sarafian,,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,"73.0""",73,Orthodox,10,6,0,,M,Middleweight
Daniel Schmitt,Daniel,Schmitt,,--,0,0,0,185 lbs.,185,83.91452,--,0,n/a,1,3,0,,M,Middleweight
Daniel Spohn,Daniel,Spohn,Dragon,"6' 4""",6,4,193.04,205 lbs.,205,92.98636,"76.0""",76,n/a,8,5,0,,M,Light Heavyweight
Daniel Stittgen,Daniel,Stittgen,The Anvil,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,--,0,Orthodox,7,3,0,,M,Welterweight
Daniel Straus,Daniel,Straus,,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,"71.0""",71,n/a,24,6,0,,M,Featherweight
Daniel Weichel,Daniel,Weichel,The Weasel,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,"70.0""",70,n/a,36,9,0,,M,Featherweight
Danillo Villefort,Danillo,Villefort,Indio,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,Orthodox,13,4,0,,M,Middleweight
Danny Abbadi,Danny,Abbadi,The Assassin,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,Orthodox,4,6,0,,M,Lightweight
Danny Castillo,Danny,Castillo,Last Call,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"71.0""",71,Orthodox,17,10,0,,M,Lightweight
Danny Davis,Danny,Davis,,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,--,0,n/a,6,5,1,,M,Welterweight
Danny Martinez,Danny,Martinez,The Gremlin,"5' 6""",5,6,167.64,125 lbs.,125,56.699,"67.0""",67,Orthodox,18,7,0,,M,Flyweight
Danny Mitchell,Danny,Mitchell,The Cheesecake Assassin,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"74.0""",74,Orthodox,14,6,1,,M,Welterweight
Danny Navarro,Danny,Navarro,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,n/a,12,5,0,,M,Lightweight
Danny Roberts,Danny,Roberts,Hot Chocolate,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"74.0""",74,Southpaw,12,1,0,,M,Welterweight
Dante Rivera,Dante,Rivera,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,Southpaw,15,6,0,,M,Middleweight
Daron Cruickshank,Daron,Cruickshank,Detroit Superstar,"5' 8""",5,8,172.72,155 lbs.,155,70.30676,"72.0""",72,Switch,16,8,0,,M,Lightweight
Darrell Gholar,Darrell,Gholar,,"5' 8""",5,8,172.72,194 lbs.,194,87.996848,--,0,Orthodox,5,6,0,,M,Light Heavyweight
Darrell Horcher,Darrell,Horcher,The Saint,"5' 10""",5,10,177.8,160 lbs.,160,72.57472,"70.0""",70,Southpaw,12,2,0,,M,Welterweight
Darrell Montague,Darrell,Montague,Mongoose,"5' 6""",5,6,167.64,125 lbs.,125,56.699,"67.0""",67,Southpaw,13,5,0,,M,Flyweight
Darren Elkins,Darren,Elkins,The Damage,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,"71.0""",71,Orthodox,21,5,0,,M,Featherweight
Darren Till,Darren,Till,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"74.0""",74,Southpaw,13,0,1,,M,Welterweight
Darren Uyenoyama,Darren,Uyenoyama,BC,"5' 6""",5,6,167.64,125 lbs.,125,56.699,"64.0""",64,Orthodox,8,5,0,,M,Flyweight
Darrill Schoonover,Darrill,Schoonover,The Boss,"6' 2""",6,2,187.96,220 lbs.,220,99.79024,--,0,Orthodox,11,5,0,,M,Heavyweight
Darrion Caldwell,Darrion,Caldwell,The Wolf,"5' 10""",5,10,177.8,135 lbs.,135,61.23492,--,0,n/a,8,0,0,,M,Bantamweight
Darryl Cobb,Darryl,Cobb,,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,--,0,n/a,5,4,0,,M,Middleweight
Dashon Johnson,Dashon,Johnson,Flyboy,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,"70.0""",70,Orthodox,9,2,0,,M,Featherweight
Dave Beneteau,Dave,Beneteau,Dangerous,"6' 2""",6,2,187.96,250 lbs.,250,113.398,--,0,Orthodox,6,5,1,,M,Heavyweight
Dave Berry,Dave,Berry,,--,0,0,0,--,0,0,--,0,n/a,0,1,0,,M,n/a
Dave Cochran,Dave,Cochran,,"5' 6""",5,6,167.64,155 lbs.,155,70.30676,--,0,n/a,25,28,1,,M,Lightweight
Dave Courchaine,Dave,Courchaine,,"5' 8""",5,8,172.72,170 lbs.,170,77.11064,--,0,n/a,5,5,0,,M,Welterweight
Dave Dalgliesh,Dave,Dalgliesh,,"6' 2""",6,2,187.96,205 lbs.,205,92.98636,--,0,Orthodox,30,19,2,,M,Light Heavyweight
Dave Galera,Dave,Galera,Scarecrow,"5' 11""",5,11,180.34,135 lbs.,135,61.23492,--,0,Orthodox,5,1,0,,M,Bantamweight
Dave Herman,Dave,Herman,,"6' 4""",6,4,193.04,242 lbs.,242,109.769264,"76.0""",76,Orthodox,21,6,0,,M,Heavyweight
Dave Jansen,Dave,Jansen,,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"73.0""",73,Orthodox,15,3,0,,M,Lightweight
Dave Martin,Dave,Martin,,"6' 0""",6,0,182.88,205 lbs.,205,92.98636,--,0,n/a,0,2,0,,M,Light Heavyweight
Dave Menne,Dave,Menne,The Warrior,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,Orthodox,44,16,2,,M,Welterweight
Dave Phillips,Dave,Phillips,The Rockstar,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Orthodox,7,5,0,,M,Middleweight
Dave Rickels,Dave,Rickels,The Caveman,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,n/a,16,4,0,,M,Lightweight
Dave Roberts,Dave,Roberts,,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,--,0,Orthodox,5,8,0,,M,Welterweight
Dave Strasser,Dave,Strasser,,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,Orthodox,25,8,4,,M,Welterweight
Dave Terrel,Dave,Terrel,The Bionic,"5' 8""",5,8,172.72,170 lbs.,170,77.11064,--,0,Southpaw,7,6,0,,M,Welterweight
Dave Zitanick,Dave,Zitanick,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,5,7,0,,M,Welterweight
Davey Grant,Davey,Grant,Dangerous,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,"69.0""",69,n/a,10,2,0,,M,Bantamweight
David Abbott,David,Abbott,Tank,"6' 0""",6,0,182.88,265 lbs.,265,120.20188,--,0,Switch,10,14,0,,M,Heavyweight
David Avellan,David,Avellan,,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,--,0,Orthodox,2,1,0,,M,Middleweight
David Baron,David,Baron,,"5' 6""",5,6,167.64,155 lbs.,155,70.30676,--,0,Switch,17,3,1,,M,Lightweight
David Barrios,David,Barrios,,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,--,0,n/a,4,5,0,,M,Featherweight
David Bielkheden,David,Bielkheden,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"71.0""",71,Orthodox,16,9,0,,M,Lightweight
David Blanco,David,Blanco,,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,--,0,n/a,2,0,0,,M,Featherweight
David Branch,David,Branch,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,"79.0""",79,Orthodox,9,2,0,,M,Middleweight
David Dodd,David,Dodd,,"6' 2""",6,2,187.96,200 lbs.,200,90.7184,--,0,Orthodox,4,7,0,,M,Light Heavyweight
David Douglas,David,Douglas,Tarzan,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,n/a,8,3,0,,M,Lightweight
David Gardner,David,Gardner,,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,--,0,Orthodox,18,19,0,,M,Lightweight
David Gomez,David,Gomez,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,1,2,0,,M,Lightweight
David Heath,David,Heath,,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,"72.0""",72,Orthodox,16,7,0,,M,Light Heavyweight
David Hood,David,Hood,,"6' 0""",6,0,182.88,200 lbs.,200,90.7184,--,0,n/a,1,3,0,,M,Light Heavyweight
David Hulett,David,Hulett,Hollywood,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,--,0,n/a,18,9,0,,M,Welterweight
David Kaplan,David,Kaplan,Diamond,"5' 7""",5,7,170.18,155 lbs.,155,70.30676,--,0,Orthodox,3,4,0,,M,Lightweight
David Lee,David,Lee,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,Orthodox,9,7,0,,M,Lightweight
David Levicki,David,Levicki,,"6' 5""",6,5,195.58,275 lbs.,275,124.7378,--,0,n/a,1,3,0,,M,Super Heavyweight
David Loiseau,David,Loiseau,The Crow,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,"76.0""",76,Orthodox,20,10,0,,M,Middleweight
David Marshall,David,Marshall,,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,--,0,n/a,8,3,0,,M,Welterweight
David Michaud,David,Michaud,BullDawg,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"72.0""",72,Orthodox,8,2,0,,M,Lightweight
David Mitchell,David,Mitchell,Daudi,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,"76.0""",76,Orthodox,12,4,0,,M,Welterweight
David Rasouli,David,Rasouli,,"5' 7""",5,7,170.18,155 lbs.,155,70.30676,--,0,n/a,2,3,0,,M,Lightweight
David Smith,David,Smith,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,5,1,0,,M,Lightweight
David Terrell,David,Terrell,The Soul Assassin,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,Southpaw,6,2,0,,M,Middleweight
David Teymur,David,Teymur,,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"73.0""",73,n/a,4,1,0,,M,Lightweight
David Velasquez,David,Velasquez,Little,"5' 5""",5,5,165.1,145 lbs.,145,65.77084,--,0,Orthodox,10,9,0,,M,Featherweight
Dean Hancock,Dean,Hancock,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,2,0,0,,M,Lightweight
Dean Lister,Dean,Lister,The Boogeyman,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,"75.0""",75,Orthodox,11,7,0,,M,Middleweight
Deividas Taurosevicius,Deividas,Taurosevicius,,"5' 9""",5,9,175.26,145 lbs.,145,65.77084,"68.0""",68,Southpaw,13,5,0,,M,Featherweight
Del Hawkins,Del,Hawkins,The Filipino Delight,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,--,0,Orthodox,22,15,0,,M,Bantamweight
Delson Heleno,Delson,Heleno,Pe De Chumbo,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,Orthodox,23,7,0,,M,Middleweight
DeMarco Villalona,DeMarco,Villalona,,"5' 9""",5,9,175.26,185 lbs.,185,83.91452,--,0,n/a,1,2,0,,M,Middleweight
Demetrious Johnson,Demetrious,Johnson,Mighty Mouse,"5' 3""",5,3,160.02,125 lbs.,125,56.699,"66.0""",66,Orthodox,23,2,1,,M,Flyweight
Demetrius Gioulacos,Demetrius,Gioulacos,,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,n/a,0,1,0,,M,Middleweight
Demian Maia,Demian,Maia,,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"72.0""",72,Southpaw,22,6,0,,M,Welterweight
Denis Kang,Denis,Kang,,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,"77.0""",77,Orthodox,34,15,2,,M,Middleweight
Denis Sobolev,Denis,Sobolev,,"6' 3""",6,3,190.5,216 lbs.,216,97.975872,--,0,Orthodox,4,7,0,,M,Heavyweight
Denis Stojnic,Denis,Stojnic,,"6' 0""",6,0,182.88,245 lbs.,245,111.13004,--,0,Orthodox,9,3,0,,M,Heavyweight
Dennis Bermudez,Dennis,Bermudez,The Menace,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,"66.0""",66,Orthodox,16,5,0,,M,Featherweight
Dennis Dombrow,Dennis,Dombrow,,--,0,0,0,145 lbs.,145,65.77084,--,0,n/a,2,2,0,,M,Featherweight
Dennis Hallman,Dennis,Hallman,Superman,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,"72.0""",72,Orthodox,67,14,2,,M,Lightweight
Dennis Olson,Dennis,Olson,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,14,10,0,,M,Welterweight
Dennis Reed,Dennis,Reed,,--,0,0,0,205 lbs.,205,92.98636,--,0,Orthodox,43,52,1,,M,Light Heavyweight
Dennis Siver,Dennis,Siver,,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,"70.0""",70,Orthodox,22,11,0,,M,Featherweight
Derek Anderson,Derek,Anderson,Barbaric,"6' 0""",6,0,182.88,155 lbs.,155,70.30676,--,0,n/a,13,2,0,,M,Lightweight
Derek Bohi,Derek,Bohi,Marshmallow,"6' 4""",6,4,193.04,260 lbs.,260,117.93392,--,0,n/a,6,4,0,,M,Heavyweight
Derek Brunson,Derek,Brunson,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,"77.0""",77,Southpaw,15,3,0,,M,Middleweight
Derek Campos,Derek,Campos,The Stallion,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,--,0,n/a,16,6,0,,M,Lightweight
Derek Downey,Derek,Downey,,"6' 1""",6,1,185.42,185 lbs.,185,83.91452,--,0,Orthodox,11,4,0,,M,Middleweight
Derek Getzel,Derek,Getzel,The Pretzel,"6' 0""",6,0,182.88,155 lbs.,155,70.30676,--,0,n/a,3,2,0,,M,Lightweight
Derrick Burnsed,Derrick,Burnsed,,--,0,0,0,155 lbs.,155,70.30676,--,0,n/a,8,2,0,,M,Lightweight
Derrick Lewis,Derrick,Lewis,The Black Beast,"6' 3""",6,3,190.5,260 lbs.,260,117.93392,"79.0""",79,Orthodox,15,4,0,,M,Heavyweight
Derrick Mehmen,Derrick,Mehmen,Caveman,"6' 4""",6,4,193.04,205 lbs.,205,92.98636,--,0,n/a,12,4,0,,M,Light Heavyweight
Derrick Noble,Derrick,Noble,The Eraser,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Southpaw,26,15,1,,M,Welterweight
Deshaun Johnson,Deshaun,Johnson,,--,0,0,0,167 lbs.,167,75.749864,--,0,n/a,6,9,0,,M,Welterweight
Devin Cole,Devin,Cole,,"6' 4""",6,4,193.04,240 lbs.,240,108.86208,--,0,Orthodox,21,9,1,,M,Heavyweight
Devin Johnson,Devin,Johnson,,--,0,0,0,--,0,0,--,0,n/a,1,1,1,,M,n/a
Dewey Cooper,Dewey,Cooper,The Black Cobra,--,0,0,0,205 lbs.,205,92.98636,--,0,n/a,2,1,0,,M,Light Heavyweight
Dhafir Harris,Dhafir,Harris,Dada 5000,--,0,0,0,257 lbs.,257,116.573144,--,0,n/a,2,0,0,,M,Heavyweight
Dhiego Lima,Dhiego,Lima,,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"75.0""",75,Orthodox,11,4,0,,M,Welterweight
Diego Brandao,Diego,Brandao,DB,"5' 7""",5,7,170.18,145 lbs.,145,65.77084,"68.0""",68,Orthodox,24,11,0,,M,Featherweight
Diego Nunes,Diego,Nunes,The Gun,"5' 6""",5,6,167.64,145 lbs.,145,65.77084,"67.0""",67,Orthodox,18,4,0,,M,Featherweight
Diego Rivas,Diego,Rivas,Pitbull,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,"69.0""",69,Orthodox,7,0,0,,M,Featherweight
Diego Sanchez,Diego,Sanchez,Nightmare,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,"72.0""",72,Southpaw,28,8,0,,M,Lightweight
Diego Saraiva,Diego,Saraiva,The Octopus,"5' 6""",5,6,167.64,155 lbs.,155,70.30676,--,0,Orthodox,21,16,1,,M,Lightweight
Dieuseul Berto,Dieuseul,Berto,,"5' 9""",5,9,175.26,200 lbs.,200,90.7184,--,0,n/a,0,3,0,,M,Light Heavyweight
Dileno Lopes,Dileno,Lopes,,"5' 5""",5,5,165.1,135 lbs.,135,61.23492,"65.0""",65,n/a,19,2,0,,M,Bantamweight
Dillon Smith,Dillon,Smith,,"6' 0""",6,0,182.88,170 lbs.,170,77.11064,--,0,n/a,0,0,0,,M,Welterweight
Dimitiri Wanderley,Dimitiri,Wanderley,,--,0,0,0,205 lbs.,205,92.98636,--,0,Orthodox,5,2,0,,M,Light Heavyweight
Din Thomas,Din,Thomas,Dinyero,"5' 9""",5,9,175.26,155 lbs.,155,70.30676,--,0,Orthodox,25,8,0,,M,Lightweight
Dino Pezao,Dino,Pezao,,--,0,0,0,205 lbs.,205,92.98636,--,0,Orthodox,1,2,0,,M,Light Heavyweight
Dion Staring,Dion,Staring,Soldier,"6' 1""",6,1,185.42,235 lbs.,235,106.59412,--,0,Orthodox,24,8,0,,M,Heavyweight
Dmitri Stepanov,Dmitri,Stepanov,,"6' 3""",6,3,190.5,217 lbs.,217,98.429464,--,0,Orthodox,0,1,0,,M,Heavyweight
Dmitry Smolyakov,Dmitry,Smolyakov,,"6' 2""",6,2,187.96,253 lbs.,253,114.758776,--,0,n/a,8,0,0,,M,Heavyweight
Dokonjonosuke Mishima,Dokonjonosuke,Mishima,,"5' 7""",5,7,170.18,155 lbs.,155,70.30676,--,0,Southpaw,20,7,2,,M,Lightweight
Dominic Brown,Dominic,Brown,,"5' 11""",5,11,180.34,190 lbs.,190,86.18248,--,0,n/a,14,21,0,,M,Light Heavyweight
Dominic Clark,Dominic,Clark,,"5' 10""",5,10,177.8,155 lbs.,155,70.30676,--,0,n/a,3,1,0,,M,Lightweight
Dominic Waters,Dominic,Waters,Sho Nuff,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"79.0""",79,Orthodox,9,4,0,,M,Welterweight
Dominick Cruz,Dominick,Cruz,The Dominator,"5' 8""",5,8,172.72,135 lbs.,135,61.23492,"68.0""",68,Orthodox,21,1,0,,M,Bantamweight
Dominique Steele,Dominique,Steele,Non-Stop Action-Packed,"5' 10""",5,10,177.8,170 lbs.,170,77.11064,"74.0""",74,Orthodox,14,6,0,,M,Welterweight
Don Carlo-Clauss,Don,Carlo-Clauss,,--,0,0,0,170 lbs.,170,77.11064,--,0,n/a,7,5,0,,M,Welterweight
Don Frye,Don,Frye,The Predator,"6' 1""",6,1,185.42,219 lbs.,219,99.336648,--,0,Orthodox,20,9,1,,M,Heavyweight
Donald Cerrone,Donald,Cerrone,Cowboy,"6' 1""",6,1,185.42,170 lbs.,170,77.11064,"73.0""",73,Orthodox,29,7,0,,M,Welterweight
Donald Sanchez,Donald,Sanchez,,"5' 10""",5,10,177.8,145 lbs.,145,65.77084,--,0,n/a,29,13,0,,M,Featherweight
Dong Hyun Kim,Dong Hyun,Kim,The Maestro,"5' 11""",5,11,180.34,170 lbs.,170,77.11064,"70.0""",70,Orthodox,13,7,3,,M,Welterweight
Dong Hyun Kim,Dong Hyun,Kim,Stun Gun,"6' 2""",6,2,187.96,170 lbs.,170,77.11064,"76.0""",76,Southpaw,21,3,1,,M,Welterweight
Dong Sik Yoon,Dong Sik,Yoon,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Orthodox,5,7,0,,M,Middleweight
Dongi Yang,Dongi,Yang,The Ox,"5' 10""",5,10,177.8,185 lbs.,185,83.91452,"71.0""",71,Southpaw,13,3,0,,M,Middleweight
Donnie Chappell,Donnie,Chappell,,"5' 11""",5,11,180.34,178 lbs.,178,80.739376,--,0,Southpaw,0,1,0,,M,Middleweight
Donnie Liles,Donnie,Liles,,"5' 9""",5,9,175.26,170 lbs.,170,77.11064,--,0,Orthodox,13,5,0,,M,Welterweight
Donny Walker,Donny,Walker,Eagle Eye,"5' 9""",5,9,175.26,135 lbs.,135,61.23492,--,0,n/a,15,8,0,,M,Bantamweight
